TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,MAIN_GENRE,MAIN_PRODUCTION,contentType,description,contentRating,genre,formattedDuration,releasedDate,Hours Viewed,actors,director,creator,audio,subtitle,numberOfSeasons,seasonStartDate
13 Reasons Why,2017,7.5,282373,58,4,drama,US,,,,,,,,,,,,,,
30 Rock,2006,8.3,121514,25,7,comedy,US,,,,,,,,,,,,,,
A Series of Unfortunate Events,2017,7.8,59239,47,3,action,US,,,,,,,,,,,,,,
After Life,2019,8.5,124972,28,3,comedy,GB,TVSeries,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",18,TV Dramas,,3/8/19,"8,800,000","Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman, Penelope Wilton, Jo Hartley, Paul Kaye, Roisin Conaty, Joe Wilkinson, David Earl, Ethan Lawrence, Kath Hughes",,Ricky Gervais,,,3,3/8/19
Alias Grace,2017,7.7,31577,44,1,drama,CA,,,,,,,,,,,,,,
Alice in Borderland,2020,7.6,47651,47,2,action,JP,,,,,,,,,,,,,,
All of Us Are Dead,2022,7.5,41393,61,1,action,KR,TVSeries,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,18,Horror TV Serials,,1/28/22,"94,600,000","Park Ji-hu, Yoon Chan-young, Cho Yi-hyun, Lomon, Yoo In-soo, Lee You-mi, Kim Byong-chul, Lee Kyoo-hyung, Jeon Bae-soo",,"Lee JQ, Chun Sung-il, Kim Nam-su",,,1,1/28/22
Altered Carbon,2018,7.9,162018,52,2,scifi,US,TVSeries,"After 250 years on ice, a prisoner returns to life in a new body with one chance to win his freedom: by solving a mind-bending murder.",18,TV Shows Based on Books,,2/2/18,"18,100,000","Anthony Mackie, Lela Loren, Simone Missick, Chris Conner, Dina Shihabi, Torben Liebrecht, Renée Elise Goldsberry, Joel Kinnaman, James Purefoy, Martha Higareda, Dichen Lachman, Will Yun Lee, Kristin Lehman, Ato Essandoh, Tamara Taylor, Byron Mann",,Laeta Kalogridis,,,2,2/2/18
American Vandal,2017,8.1,29972,33,2,comedy,US,,,,,,,,,,,,,,
Angel Beats!,2010,7.7,13848,26,1,scifi,JP,,,,,,,,,,,,,,
Anne with an E,2017,8.7,51001,46,3,drama,CA,TVSeries,"A plucky orphan whose passions run deep finds an unlikely home with a spinster and her soft-spoken bachelor brother. Based on ""Anne of Green Gables.""",13,TV Shows Based on Books,,5/12/17,"30,900,000","Amybeth McNulty, Geraldine James, R.H. Thomson, Corrine Koslo, Dalila Bela, Lucas Jade Zumann, Aymeric Jett Montaz, Dalmar Abuzeid, Cory Gruter-Andrew, Joanna Douglas",,Moira Walley-Beckett,,,3,5/12/17
anohana: The Flower We Saw That Day,2011,8.2,12682,23,1,drama,JP,,,,,,,,,,,,,,
Arcane,2021,9.1,175412,41,1,action,US,TVSeries,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",16,Fantasy TV Shows,,11/7/21,"15,200,000","Hailee Steinfeld, Katie Leung, Kevin Alejandro, Jason Spisak, Ella Purnell, Toks Olagundoye, JB Blanc, Harry Lloyd, Shohreh Aghdashloo, Mick Wingert, Yuri Lowenthal, Josh Keaton, Mia Sinclair Jenness, Remy Hii",,"Christian Linke, Alex Yee",,,1,11/7/21
Arrested Development,2003,8.7,297552,28,5,comedy,US,,,,,,,,,,,,,,
Arrow,2012,7.5,425716,42,8,action,US,,,,,,,,,,,,,,
Ash vs Evil Dead,2015,8.4,70087,30,3,action,US,,,,,,,,,,,,,,
Attack on Titan,2013,9,325381,24,4,scifi,JP,,,,,,,,,,,,,,
Atypical,2017,8.3,81643,31,4,comedy,US,,,,,,,,,,,,,,
Avatar: The Last Airbender,2005,9.3,297336,24,3,scifi,US,,,,,,,,,,,,,,
Babylon Berlin,2017,8.4,23256,49,4,crime,DE,,,,,,,,,,,,,,
Better Call Saul,2015,8.8,404920,49,6,comedy,US,,,,,,,,,,,,,,
Big Mouth,2017,7.9,74660,27,6,animation,US,,,,,,,,,,,,,,
Bloodline,2015,7.9,50028,57,3,drama,US,,,,,,,,,,,,,,
Blue Exorcist,2011,7.5,12741,24,2,scifi,JP,,,,,,,,,,,,,,
Bodyguard,2018,8.1,114446,60,2,war,GB,TVSeries,"After helping thwart a terrorist attack, a war veteran is assigned to protect a politician who was a main proponent of the very conflict he fought in.",16,TV Mysteries,,10/24/18,"52,000,000","Richard Madden, Keeley Hawes, Gina McKee, Sophie Rundle, Vincent Franklin, Pippa Haywood, Paul Ready, Tom Brooke, Nicholas Gleaves, Stuart Bowman",,Jed Mercurio,,,1,10/24/18
BoJack Horseman,2014,8.8,143584,26,6,drama,US,TVSeries,"Meet the most beloved sitcom horse of the '90s, 20 years later. He’s a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",18,Sitcoms,,1/5/16,"13,600,000","Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins",,Raphael Bob-Waksberg,,,6,1/5/16
Bordertown,2016,7.6,10371,59,3,drama,FI,TVSeries,A gifted detective takes a job in a small town so he can spend more time with his family. But he's soon drawn into a web of disturbing murder cases.,18,TV Mysteries,,7/15/18,"5,200,000","Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Laura Malmivaara, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid, Kristiina Halttu",,Miikko Oikkonen,,,3,7/15/18
Borgen,2010,8.5,23523,58,4,drama,DK,,,,,,,,,,,,,,
Boys Over Flowers,2009,7.9,11579,64,1,comedy,KR,,,,,,,,,,,,,,
Breaking Bad,2008,9.5,1727694,48,5,drama,US,,,,,,,,,,,,,,
Cable Girls,2017,7.6,13855,50,5,drama,ES,,,,,,,,,,,,,,
Caliphate,2020,8.2,17735,48,1,war,SE,,,,,,,,,,,,,,
Call My Agent!,2015,8.3,13331,55,4,comedy,FR,TVSeries,"At a top Paris talent firm, agents scramble to keep their star clients happy -- and their business afloat -- after an unexpected crisis.",16,TV Dramas,,12/20/16,"2,100,000","Camille Cottin, Thibault de Montalembert, Grégory Montel, Liliane Rovère, Assaad Bouab, Fanny Sidney, Laure Calamy, Nicolas Maury, Stéfi Celma, Ophélia Kolb",,Fanny Herrero,,,4,12/20/16
Call the Midwife,2012,8.5,25562,56,11,drama,GB,,,,,,,,,,,,,,
Car Masters: Rust to Riches,2018,8.4,10024,39,3,reality,US,,,,,,,,,,,,,,
Castlevania,2017,8.3,61114,26,4,scifi,US,,,,,,,,,,,,,,
Chappelle's Show,2003,8.8,62140,21,3,comedy,US,,,,,,,,,,,,,,
Chicago Med,2015,7.6,24142,41,8,drama,US,,,,,,,,,,,,,,
Cobra Kai,2018,8.6,163858,31,5,action,US,,,,,,,,,,,,,,
Code Geass: Lelouch of the Rebellion,2006,8.7,62367,24,3,scifi,JP,,,,,,,,,,,,,,
Comedians in Cars Getting Coffee,2012,8,12363,20,11,comedy,US,,,,,,,,,,,,,,
Community,2009,8.5,252564,23,6,comedy,US,,,,,,,,,,,,,,
Conversations with a Killer: The Ted Bundy Tapes,2019,7.8,27439,59,1,crime,US,,,,,,,,,,,,,,
Cowboy Bebop,1998,8.9,112887,25,1,western,JP,TVSeries,"Long on style and perpetually short on cash, bounty hunters Spike, Jet and Faye trawl the solar system looking for jobs. But can they outrun Spike's past?",18,TV Action & Adventure,,11/19/21,"7,200,000","John Cho, Mustafa Shakir, Daniella Pineda, Elena Satine, Alex Hassell, Tamara Tunie, Mason Alexander Park, Geoff Stults, Rachel House",,,,,1,11/19/21
Crashing,2016,7.7,18546,30,1,comedy,GB,,,,,,,,,,,,,,
Crazy Ex-Girlfriend,2015,7.8,19738,42,4,comedy,US,,,,,,,,,,,,,,
Criminal Minds,2005,8.1,189191,44,15,thriller,US,,,,,,,,,,,,,,
Criminal: UK,2019,7.6,17992,44,2,drama,GB,,,,,,,,,,,,,,
Dark,2017,8.7,354443,56,3,scifi,DE,TVSeries,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,18,TV Mysteries,,12/1/17,"24,100,000","Louis Hofmann, Oliver Masucci, Jördis Triebel, Maja Schöne, Karoline Eichhorn, Sebastian Rudolph, Anatole Taubman, Mark Waschke, Stephan Kampwirth, Anne Ratte-Polle, Andreas Pietschmann, Lisa Vicari, Michael Mendl, Angela Winkler",,"Baran bo Odar, Jantje Friese",,,3,12/1/17
Dark Matter,2015,7.5,41867,43,3,scifi,CA,,,,,,,,,,,,,,
Dash & Lily,2020,7.5,16978,25,1,comedy,US,,,,,,,,,,,,,,
Dead Set,2008,7.6,19684,141,1,scifi,GB,,,,,,,,,,,,,,
Dead to Me,2019,8,73110,31,2,drama,US,TVSeries,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,18,TV Dramas,,5/3/19,"22,100,000","Christina Applegate, Linda Cardellini, James Marsden, Max Jenkins, Sam McCarthy, Luke Roessler, Edward Asner",,Liz Feldman,,,2,5/3/19
DEATH NOTE,2006,9,302147,24,1,scifi,JP,,,,,,,,,,,,,,
Delhi Crime,2019,8.5,18732,27,1,drama,IN,,,,,,,,,,,,,,
Demon Slayer: Kimetsu no Yaiba,2019,8.7,88265,25,3,animation,JP,,,,,,,,,,,,,,
Derek,2013,8.1,31976,26,3,drama,GB,TVSeries,Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home care worker who sees only the good in everyone.,18,Sitcoms,,1/1/19,"900,000","Ricky Gervais, Kerry Godliman, Karl Pilkington, David Earl, Kay Noone, Tim Barlow, Arthur Nightingale, Sheila Collings, Margaret Towner, Barry Martin, Prem Modgil, Blanche Williams, Ninette Finch, Brett Goldstein, Ruth Bratt, Holli Dempsey",,Ricky Gervais,,,3,1/1/19
Derry Girls,2018,8.4,28718,25,3,comedy,GB,TVSeries,"Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",16,Sitcoms,,12/21/18,"6,400,000","Saoirse-Monica Jackson, Nicola Coughlan, Louisa Harland, Jamie-Lee O'Donnell, Dylan Llewellyn, Tara Lynne O'Neill, Kathy Kiera Clarke, Tommy Tiernan, Ian McElhinney, Siobhan McSweeney",,Lisa McGee,,,2,12/21/18
Designated Survivor,2016,7.5,88019,44,3,war,US,,,,,,,,,,,,,,
Devilman Crybaby,2018,7.6,18575,25,1,scifi,JP,,,,,,,,,,,,,,
Dogs of Berlin,2018,7.5,12453,60,1,drama,DE,,,,,,,,,,,,,,
Don't F**k with Cats: Hunting an Internet Killer,2019,8,50250,62,1,crime,US,TVSeries,A twisted criminal's gruesome videos drive a group of amateur online sleuths to launch a risky manhunt that pulls them into a dark underworld.,18,True Crime Documentaries,,12/18/19,"3,700,000",,Mark Lewis,,,,1,12/18/19
DOTA: Dragon's Blood,2021,7.8,17429,26,2,scifi,US,,,,,,,,,,,,,,
Downton Abbey,2010,8.7,197744,58,6,drama,GB,,,,,,,,,,,,,,
El Chapo,2017,7.8,17992,44,3,drama,US,,,,,,,,,,,,,,
ERASED,2016,8.5,42699,22,1,drama,JP,,,,,,,,,,,,,,
Everything Sucks!,2018,7.5,18023,24,1,drama,US,,,,,,,,,,,,,,
Evil Genius,2018,7.5,27516,48,1,crime,US,,,,,,,,,,,,,,
F is for Family,2015,8,36050,28,5,comedy,US,,,,,,,,,,,,,,
Fate/Zero,2011,8.2,12568,25,2,scifi,JP,,,,,,,,,,,,,,
Fauda,2015,8.3,25239,40,3,war,IL,,,,,,,,,,,,,,
Feel Good,2020,7.5,10317,25,2,drama,GB,,,,,,,,,,,,,,
Formula 1: Drive to Survive,2019,8.6,36661,38,6,documentary,GB,,,,,,,,,,,,,,
Frequency,2016,7.5,13625,18,3,scifi,US,,,,,,,,,,,,,,
Friday Night Lights,2006,8.7,64449,43,5,drama,US,,,,,,,,,,,,,,
Gilmore Girls,2000,8.2,119054,46,8,comedy,US,,,,,,,,,,,,,,
Gilmore Girls: A Year in the Life,2016,7.6,36359,92,1,comedy,US,,,,,,,,,,,,,,
Giri/Haji,2019,7.8,13570,58,1,thriller,GB,,,,,,,,,,,,,,
GLOW,2017,8,44751,34,4,drama,US,,,,,,,,,,,,,,
Good Girls,2018,7.7,49867,42,4,comedy,US,,,,,,,,,,,,,,
Goosebumps,1995,7.6,13361,22,4,scifi,CA,,,,,,,,,,,,,,
Gotham,2014,7.8,226081,43,5,scifi,US,,,,,,,,,,,,,,
Grace and Frankie,2015,8.2,48435,30,7,comedy,US,TVSeries,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",16,Sitcoms,,8/13/21,"13,700,000","Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn",,"Marta Kauffman, Howard J. Morris",,,7,8/13/21
Grey's Anatomy,2005,7.6,293618,49,18,drama,US,,,,,,,,,,,,,,
Gurren Lagann,2007,8.3,17024,24,1,scifi,JP,,,,,,,,,,,,,,
Halston,2021,7.5,14040,47,1,drama,US,TVSeries,His name built an empire. His style defined an era. American fashion designer Halston skyrockets to fame before his life starts to spin out of control.,18,TV Shows Based on Books,,5/14/21,"1,900,000","Ewan McGregor, Bill Pullman, Rebecca Dayan, David Pittu, Krysta Rodriguez, Rory Culkin, Vera Farmiga, Gian Franco Rodriguez, Sullivan Jones, Kelly Bishop, Dilone, James Waterston, Jason Kravits, Mary Beth Peil",Daniel Minahan,,,,1,5/14/21
Happy Endings,2011,7.8,37778,21,3,comedy,US,,,,,,,,,,,,,,
HAPPY!,2017,8.1,37747,43,2,scifi,US,,,,,,,,,,,,,,
Heartland,2007,8.4,15743,44,15,drama,CA,,,,,,,,,,,,,,
Heartstopper,2022,8.9,28978,28,1,drama,GB,,,,,,,,,,,,,,
Hilda,2018,8.5,10162,25,2,scifi,GB,,,,,,,,,,,,,,
Hollywood,2020,7.5,35067,50,1,drama,US,,,,,,,,,,,,,,
Home for Christmas,2019,7.7,13670,29,2,comedy,NO,,,,,,,,,,,,,,
House of Cards,2013,8.7,494092,52,6,drama,US,,,,,,,,,,,,,,
How to Get Away with Murder,2014,8.1,146712,43,6,drama,US,,,,,,,,,,,,,,
How to Sell Drugs Online (Fast),2019,7.9,30734,32,3,drama,DE,,,,,,,,,,,,,,
Hunter x Hunter,2011,9,87857,23,3,drama,JP,,,,,,,,,,,,,,
I Am Not Okay with This,2020,7.5,56459,21,1,comedy,US,,,,,,,,,,,,,,
I Think You Should Leave with Tim Robinson,2019,7.9,11411,16,3,comedy,US,TVSeries,There is no such thing as an ordinary interaction in this offbeat sketch comedy series that features a deep roster of guest stars.,18,TV Comedies,,4/23/19,"4,100,000","Tim Robinson, Andy Samberg, Sam Richardson, Will Forte, Fred Willard, Cecily Strong, Tim Heidecker, Kate Berlant, Patti Harrison, Conner O'Malley",,"Tim Robinson, Zach Kanin",,,2,4/23/19
Imposters,2017,7.8,13238,43,2,drama,US,,,,,,,,,,,,,,
In the Dark,2019,7.7,10927,41,4,comedy,US,,,,,,,,,,,,,,
Innocent,2017,8.4,17727,51,1,drama,TR,,,,,,,,,,,,,,
Inside Bill's Brain: Decoding Bill Gates,2019,7.9,10776,50,1,documentary,US,,,,,,,,,,,,,,
Inside Job,2021,7.6,15137,28,1,comedy,US,TVSeries,Lizard people? Real. The moon landing? Fake. Managing the world's conspiracies is a full-time job for an awkward genius and her dysfunctional co-workers.,18,TV Comedies,,10/22/21,"21,500,000","Lizzy Caplan, Christian Slater, Clark Duke, Tisha Campbell, Andrew Daly, Chris Diamantopoulos, John DiMaggio, Bobby Lee, Brett Gelman",,Shion Takeuchi,,,1,10/22/21
Into the Badlands,2015,7.9,45628,43,3,action,US,,,,,,,,,,,,,,
InuYasha,2000,7.9,15823,25,9,action,JP,,,,,,,,,,,,,,
It's Okay to Not Be Okay,2020,8.6,21104,76,1,drama,KR,,,,,,,,,,,,,,
Itaewon Class,2020,8.2,12030,69,1,drama,KR,,,,,,,,,,,,,,
iZombie,2015,7.8,66488,42,5,scifi,US,TVSeries,A medical student-turned-zombie tries to retain her humanity by eating brains at the morgue and finds she has an uncanny new gift for solving crimes.,18,TV Mysteries,,4/30/16,"9,500,000","Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley, David Anders, Aly Michalka, Bryce Hodgson, Robert Knepper",,"Diane Ruggiero-Wright, Rob Thomas",,,5,4/30/16
Jane the Virgin,2014,7.8,46286,42,5,drama,US,,,,,,,,,,,,,,
KILL la KILL,2013,7.9,13372,25,1,action,JP,,,,,,,,,,,,,,
Kim's Convenience,2016,8.3,16970,22,5,comedy,CA,TVSeries,"While running a convenience store in Toronto, members of a Korean-Canadian family deal with customers, each other and the evolving world around them.",13,Sitcoms,,7/12/18,"6,800,000","Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang, Simu Liu, Andrew Phung, Nicole Power",,"Ins Choi, Kevin White",,,5,7/12/18
Kingdom,2019,8.3,43760,48,2,action,KR,TVSeries,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",18,Horror TV Serials,,1/25/19,"10,200,000","Ju Ji-hoon, Ryu Seung-ryong, Bae Doona, Kim Sang-ho, Kim Sung-kyu, Jun Suk-ho, Kim Hye-jun, Park Byung-eun, Huh Joon-ho",,"Kim Eun-hee, Kim Seong-hun, Park Inje",,,2,1/25/19
Kota Factory,2019,9.3,66985,42,2,drama,IN,,,,,,,,,,,,,,
Lilyhammer,2012,7.9,29196,45,3,crime,NO,,,,,,,,,,,,,,
Locked Up,2015,8.2,21388,50,4,drama,ES,,,,,,,,,,,,,,
Longmire,2012,8.3,34362,53,6,western,US,,,,,,,,,,,,,,
Love,2016,7.7,41362,32,3,drama,US,,,,,,,,,,,,,,
Love 101,2020,7.5,13797,46,2,comedy,TR,,,,,,,,,,,,,,
Lovesick,2014,8.1,19259,24,3,comedy,GB,,,,,,,,,,,,,,
Lucifer,2016,8.1,308291,47,6,scifi,US,,,,,,,,,,,,,,
Lupin,2021,7.5,100575,46,3,crime,FR,TVSeries,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",16,TV Mysteries,,1/8/21,"18,700,000","Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia, Hervé Pierre, Soufiane Guerrab, Antoine Gouy, Fargass Assandé, Vincent Londez, Shirine Boutella",,George Kay,,,2,1/8/21
Madam Secretary,2014,7.6,22563,43,6,war,US,,,,,,,,,,,,,,
Maid,2021,8.4,74955,54,1,drama,US,TVSeries,"After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.",18,TV Shows Based on Books,,10/1/21,"61,500,000","Margaret Qualley, Andie MacDowell, Nick Robinson, Anika Noni Rose, Tracy Vilar, Billy Burke, Rylea Nevaeh Whittet",,Molly Smith Metzler,,,1,10/1/21
Making a Murderer,2015,8.6,93456,62,2,crime,US,,,,,,,,,,,,,,
Manhunt,2017,8.1,57459,43,2,documentary,US,,,,,,,,,,,,,,
Maniac,2018,7.7,74877,39,1,drama,US,TVSeries,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,18,TV Dramas,,9/21/18,"4,500,000","Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke",,Patrick Somerville,,,1,9/21/18
Marco Polo,2014,8,71229,55,2,action,US,,,,,,,,,,,,,,
Master of None,2015,8.3,72341,32,3,drama,US,,,,,,,,,,,,,,
Medici: Masters of Florence,2016,7.9,18575,54,3,war,GB,,,,,,,,,,,,,,
Merlin,2008,7.9,80138,44,5,action,GB,,,,,,,,,,,,,,
Messiah,2020,7.6,42018,45,1,drama,US,,,,,,,,,,,,,,
